business_id,name,address,city,categories,stars,review_count,latitude,longitude
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,15 N Missouri Ave,Clearwater,"General Dentistry, Dentists, Health & Medical, Cosmetic Dentists",5.0,10,27.966235,-82.787412
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,2575 E Bay Dr,Largo,"Food, Delis, Italian, Bakeries, Restaurants",4.5,100,27.9161159,-82.7604608
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,"Sushi Bars, Restaurants, Japanese",4.0,245,39.953949,-75.1432262
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,625 N Stone Ave,Tucson,"Automotive, Auto Parts & Supplies, Auto Customization",4.5,10,32.2298719,-110.9723419
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,712 Adams St,New Orleans,"Vape Shops, Tobacco Shops, Personal Shopping, Vitamins & Supplements, Shopping",4.0,5,29.9414679565,-90.129952757
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,1241 Airline Dr,Kenner,"Automotive, Car Rental, Hotels & Travel, Truck Rental",3.5,14,29.981183,-90.2540123
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,"Korean, Restaurants",4.5,205,39.943223,-75.162568
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,10359 104 Street NW,Edmonton,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",4.0,40,53.5460453,-113.4991693
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,8675 River Crossing Blvd,Indianapolis,"Shopping, Books, Mags, Music & Video, Bookstores",4.0,38,39.91382,-86.105739
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,6625 E 82nd St,Indianapolis,"Steakhouses, Asian Fusion, Restaurants",4.0,20,39.9043203184,-86.0530799
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,5505 S Virginia St,Reno,"Restaurants, Italian",2.5,339,39.4761165,-119.7893392
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,1160 Gallatin Pike S,Nashville,"Hot Dogs, Restaurants",4.0,6,36.2485696,-86.7199857
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,662 Durham Rd,Newtown,"Pet Services, Pet Groomers, Pets, Veterinarians",5.0,15,40.2734926,-74.987496
noByYNtDLQAra9ccqxdfDw,H&M,827-833 State St,Santa Barbara,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion",3.0,24,34.4202089255,-119.7004597389
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,215 1st Ave S,Nashville,"Restaurants, Japanese, Seafood",4.0,161,36.1598858,-86.7731974
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",4.0,65,39.9398245705,-75.1574465632
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,3001 Highway 31 W,White House,"Pizza, Chicken Wings, Sandwiches, Restaurants",3.5,8,36.4647467622,-86.6591868908
fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,1301 N Milwaukee St,Boise,"Trampoline Parks, Active Life",5.0,30,43.6167635,-116.2853821
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,"Pizza, Restaurants, Salad, Soup",3.0,41,40.0224662,-75.218314
8sshLb4UU7emeUDvtJWnpA,DanceLine,30 W Lancaster Ave,Paoli,"Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping",4.5,11,40.0415845065,-75.4849526577
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,10 Rittenhouse Pl,Ardmore,"Pizza, Restaurants",3.5,109,40.0067071,-75.289671
w_AMNoI1iG9eay7ncmc67w,River 127,100 Iberville St,New Orleans,"Event Planning & Services, Hotels, Hotels & Travel",3.0,12,29.951359,-90.0646715
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",3.5,65,39.9625821,-75.1356571
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,116 N Pottstown Pike,Exton,"Restaurants, Burgers",2.5,20,40.029962,-75.630607
mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,4735 Concord Pike,Wilmington,"Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair",2.0,6,39.822176,-75.546007
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,722 Holyoake Rd,Edwardsville,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums",4.5,12,38.8043945,-89.9497332
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,,Sparks,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife",5.0,7,39.5401545,-119.7483949
x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company,5324 W 16th St,Indianapolis,"Hair Salons, Hair Extensions, Beauty & Spas, Wigs, Shopping",1.5,25,39.7874644177,-86.2514209
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",3.0,94,38.896563,-90.1862032987
lwItZ1Ck3KtpCgG4CPFmpQ,Stomel Elliot Attorney-At-Law,"532 Rte 70 W, Fl 2",Cherry Hill,"DUI Law, Professional Services, Lawyers, Criminal Defense Law",5.0,5,39.915478,-75.016973
Kq51_lGAgAigqmENITTr-A,Bala Better Health,"2 Bala Plz, Ste PL-11",Bala Cynwyd,"Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care",4.0,13,40.00687,-75.217262
mglME3E7esPSpIF5bias8w,Pier 1,1014 Baltimore Pike,Springfield,"Fashion, Shopping, Department Stores, Furniture Stores, Candle Stores, Home & Garden, Home Decor",2.5,8,39.9152704301,-75.3426812589
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,"1625 W Valencia Rd, Ste 101-103",Tucson,"Restaurants, Chinese",3.0,23,32.1323047,-110.9999851
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,10303  108 Street NW,Edmonton,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",4.0,12,53.5446819,-113.506589
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,2031 Broadway,Nashville,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",3.5,159,36.1483712,-86.7988947
bCBPXIVfVzBZBEpFu29dcg,All In Shipping,5343 Belleville Crossing St,Belleville,"Shipping Centers, Local Services",5.0,5,38.5175856,-90.0219285
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,201 Jefferson St,Bala Cynwyd,"Restaurants, Italian",5.0,12,40.0283575,-75.2380841
Hwt3_mOEmU-t--ywcemnMg,Gold's Gym,203 - 38th Ave N,St. Petersburg,"Active Life, Fitness & Instruction, Trainers, Gyms, Yoga",3.0,17,27.8083394,-82.6361678
REwfwz-_-CMQ7Np5UVi9Qg,Jennie Deckert,,Carmel,"Real Estate Agents, Home Services, Real Estate",5.0,7,39.9693,-86.1650024
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,"11642 104 Avenue, Unit 642",Edmonton,"Specialty Food, Bakeries, Food, Health Markets",4.0,23,53.547205,-113.522448
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,10588 109 Street,Edmonton,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",5.0,20,53.5496333,-113.5087799
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,2815 E Sligh Ave,Tampa,"Food, Grocery, Convenience Stores",3.0,9,28.0103596,-82.4300416
xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,719 E Baltimore Pike,Kennett Square,"Hotels, Hotels & Travel, Event Planning & Services",3.0,37,39.8562475317,-75.6946098804
txyXRytGjwOXvS8s4sc-WA,Smoothie King,1070 E Tucson Marketplace Blvd,Tucson,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping",3.0,29,32.186794,-110.954765
DQ7PyYlp2bX96WZa7TcaWQ,LensCrafters,"1150 Plymouth Meeting Mall, Ste 2230",Plymouth Meeting,"Ophthalmologists, Eyewear & Opticians, Health & Medical, Shopping, Doctors, Optometrists",2.5,8,40.1161788,-75.2825254
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,10440 N Dale Mabry Hwy,Tampa,"Restaurants, American (New), Italian",4.0,23,28.0462028173,-82.5050526736
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,2038 N Dale Mabry Hwy,Tampa,"Restaurants, Pizza",4.0,35,27.9605142,-82.506127
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,1700 Lapalco Blvd,Harvey,"Restaurants, Soup, Seafood, Burgers",2.5,38,29.8754822266,-90.04938
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,6880 E 82nd St,Indianapolis,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants",3.5,257,39.9062952,-86.0474634
L_TT0BFmFwORAMaA83K54A,Village Tap Room,838 Broad Ripple Ave,Indianapolis,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",2.5,23,39.8699114,-86.1435773
mjWvAkNqoA6Y5P03sDSzfA,Educational Outfitters,"3904 W Hillsborough Ave, Ste D",Tampa,"Uniforms, Shopping",2.0,10,27.9954501644,-82.5081187
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,117 E Gay St,West Chester,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs",3.0,114,39.9615417,-75.6036042
uczmbBk5O3tYhGue13dCDg,New Orleans Spirit Tours,723 St Peter St,New Orleans,"Hotels & Travel, Tours, Local Flavor",4.0,38,29.958431,-90.065173
n7AQvGvNHlmun3kqXeBKVQ,Roy's Appliance Service,,Meridian,"Local Services, Appliances & Repair",5.0,5,43.6434944,-116.4360004
eYxGFkxo6m3SYGVTh5m2nQ,Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,"Towing, Hotels & Travel, Automotive, Motorcycle Rental, Motorcycle Gear, Shopping",4.5,8,32.2503237,-110.9036553
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,2288 W 86th St,Indianapolis,"Chocolatiers & Shops, Specialty Food, Candy Stores, Food",4.0,13,39.913292,-86.20083
KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,12101 Little Rd,Hudson,"Food, Grocery",3.5,7,28.3326007,-82.6681066
gbN4RuUiiBxQ2GBFQ2p3Cw,Mr. Margarita,Truck Inn Way,Fernley,"Food Trucks, Food",5.0,7,39.5139704538,-119.8472038094
B2qqjCl_BNNnXvWWfpFiLA,Pottery Barn Kids,"4011 Hillsboro Pike, Ste 102",Nashville,"Shopping, Baby Gear & Furniture, Home Decor, Furniture Stores, Home & Garden",1.5,13,36.1036135,-86.8162678
7PDi_iyik3jraDAzWwwR4Q,Chase JP Morgan Bank Credit Card Services,,Wilmington,"Banks & Credit Unions, Financial Services",1.5,111,39.749361,-75.643331
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,820 N Black Horse Pike,Williamstown,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants",2.5,29,39.6968014,-74.9998214
9Rww8yE6Dm4dSMEq09nwXg,Holly Nails & Spa,9101 Belcher Rd,Pinellas Park,"Health & Medical, Personal Care Services, Beauty & Spas, Massage, Nail Salons",4.5,16,27.8553467494,-82.7363080904
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,110 S MacDade Blvd,Glenolden,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar",4.5,25,39.9036968861,-75.2949812448
-4dYswJy7SPcbcERvitmIg,Pathmark,3021 Grays Ferry Ave,Philadelphia,"Food, Grocery",2.5,34,39.9404026,-75.1932966
mFTaYsRDyeFaY2NDLfSaAA,River City Games,5203 99 Street NW,Edmonton,"Tabletop Games, Shopping, Sporting Goods",4.5,5,53.4893123495,-113.4855665582
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,"7401 N La Cholla Blvd, Ste 146",Tucson,"Italian, Restaurants",3.5,9,32.221667,-110.925833
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,Wesley Chapel,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)",4.5,95,28.1962523878,-82.3806153496
cvP_vh_bOLbCY3eoY1Xw-A,Fishers Freedom Festival,1 Park Dr,Fishers,"Festivals, Arts & Entertainment",4.5,7,39.958734,-86.016966
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,5133 E 65th St,Indianapolis,"Food, Beer, Wine & Spirits, Breweries",4.5,139,39.8755319,-86.0828565
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",3.0,56,39.954573,-75.1948936
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,2501 Mt Holly Rd 245,Burlington,"Restaurants, Japanese, Sushi Bars, Asian Fusion",3.5,6,40.0416285,-74.8258209
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,8540 Bustleton Ave,Philadelphia,"Keys & Locksmiths, Home Services, Local Services",4.5,58,40.0723302045,-75.0484833435
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",4.0,389,34.4144445,-119.6906718
sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,820 Industrial Dr,Troy,"Pet Groomers, Pet Sitting, Pets, Pet Services",4.0,5,38.7162443,-89.8858296
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,1001 Poydras St,New Orleans,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces",4.5,350,29.9506467229,-90.0744274301
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,114 N 3rd St,Camden,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food",4.5,6,39.9466899,-75.123327
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,129 2nd Ave N,Nashville,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",4.5,593,36.1626492,-86.7759733
-ZXYcCyDjj1QimnJyGtYtg,Gilley's Antique Mall,5789 E US Hwy 40,Plainfield,"Home Decor, Shopping, Antiques, Books, Mags, Music & Video, Home & Garden",4.5,24,39.6949931921,-86.4230714504
nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,825 Cacique St,Santa Barbara,"Towing, Automotive, Body Shops",4.5,32,34.4196198,-119.6770319
vR9_bhoszcpXbB_APv6Xlw,James Dant,5624 E Washington St,Indianapolis,"Fashion, Shopping, Men's Clothing",5.0,31,39.7709745063,-86.0711718384
RK6-cJ9hj53RzOlCBmpT-g,Impasto,,Tampa,"Restaurants, Italian, Food Trucks, Food",5.0,5,27.890814,-82.5023464
ZM46RDLXaFNo_z6t-j_L4w,Absolutely Perfect Inc,1153 Byberry Rd,Bensalem,"Masonry/Concrete, Gardeners, Lawn Services, Tree Services, Landscape Architects, Home Services, Contractors, Landscaping",3.5,5,40.1131212,-74.9145975
pEm4xNCk8d0TF6A1gi-WDQ,TKO DJs,2650 S Big Bend,Maplewood,"Karaoke, DJs, Event Planning & Services, Party & Event Planning, Nightlife",3.5,17,38.6135761,-90.3223828
J_ksUDPpzPwfTGtI4zTRnQ,Riverview Room,600 Decatur St,New Orleans,"Event Planning & Services, Caterers, Party & Event Planning",4.5,7,29.9559253,-90.0629624
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,5191 Meadowood Mall Cir,Reno,"Sporting Goods, Sports Wear, Fashion, Restaurants, Fast Food, Sandwiches, Shopping",4.5,5,39.476518,-119.7840369
U2Tzy6J9aAAg9pzXsgdkvg,Premier Mortgage Resources,"3363 E Presidential Dr, Ste 200",Meridian,"Real Estate, Home Services, Financial Services, Mortgage Brokers, Mortgage Lenders",5.0,6,43.6141936,-116.3525001
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,1931 Park Ave,Saint Louis,"American (New), Restaurants, Cafes, Italian, American (Traditional)",3.5,80,38.6172724,-90.2127841
8KMIT0NXu30Jz5Ojo5uxaw,Cornerstone Physical Therapy Associates,"1338 Bristol Pike, Ste 203",Bensalem,"Fitness & Instruction, Physical Therapy, Health & Medical, Active Life, Trainers",5.0,6,40.0722036,-74.9644197
jiLGdnf42eYftkqfU2ze1w,Saks Fifth Avenue,8701 Keystone Crossing,Indianapolis,"Women's Clothing, Men's Clothing, Accessories, Fashion, Jewelry, Department Stores, Shopping, Shoe Stores",3.5,29,39.913836,-86.1079073
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,51 Ludwig Dr,Fairview Heights,"Seafood, Restaurants",2.5,14,38.6012982,-89.9896835
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,901 Iberville St,New Orleans,"Restaurants, Seafood, Cajun/Creole",4.0,382,29.9554151,-90.0700619
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,3322 Old Capitol Trl,Wilmington,"Mexican, Restaurants",4.0,23,39.7320886,-75.6256733
2Bi3ef7c0CrLxHD_-yy_tw,AIM Mail Center,"12112 N Rancho Vistoso Blvd, Ste 150",Oro Valley,"Printing Services, Local Services, Shipping Centers, Couriers & Delivery Services, Notaries",3.0,13,32.4263727,-110.9592405
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,163 107th Ave,Treasure Island,"Restaurants, French, Moroccan, Seafood, Mediterranean",4.0,129,27.7694046,-82.767317
2n9HHBxG7yAyAUwXXa49aw,Mighty Dustless,1256 Valley Hill Trl,Southampton,"Flooring, Handyman, Contractors, Home Services",4.0,5,40.1690207,-75.0093159
kK2i5Xyd9SOpF5pCFilbcg,Swat Pest Control,36 1/2 W Butler Ave,Chalfont,"Pest Control, Local Services",4.5,7,40.2844964,-75.207999
I6DCYks9lqZeoZiVzW7PmA,Its Sold Here,94 York Rd,Willow Grove,"Shopping, Auction Houses, Active Life",1.5,10,40.1428489,-75.1143791
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,118 W Adams Ave,Saint Louis,"Bars, Lounges, American (New), Restaurants, Nightlife, Wine Bars",4.0,73,38.5832229,-90.4071872
H0NEOp4e3Zu598u6kO3y0g,America's Best Contacts & Eyeglasses,"79 Route 73, Ste 6, Coopers Plaza",Voorhees,"Eyewear & Opticians, Health & Medical, Shopping, Doctors, Optometrists, Ophthalmologists",3.5,17,39.824552,-74.929032
sB45WFgysT617bKWP_WJwA,Budweiser Brewery Experience,1200 Lynch St,Saint Louis,"Bars, Beer Gardens, Food, Breweries, Nightlife, Tours, Pubs, Wine Tours, Beer Tours, Hotels & Travel",4.5,605,38.6001971,-90.2135377
Fk1xpM7fjqEJ4paqk5ZFSg,Jamba Juice,"13601 W Mcmillan Rd, Ste 103",Boise,"Juice Bars & Smoothies, Food",3.0,19,43.6478323,-116.3520706
4dVrWc4Nhuw9apfk9BWEcA,Walmart Supercenter,41232 US Hwy 19 N,Tarpon Springs,"Grocery, Food, Shopping, Fashion, Drugstores, Department Stores, Discount Store, Electronics",2.0,29,28.1477204,-82.7425681
xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,1675 S Christopher Columbus Blvd,Philadelphia,"Eyewear & Opticians, Shopping",4.5,6,39.9198090864,-75.157802746
NTf_U8kYu9PAE2cZGJqtJg,Mirror Lake Community Library,280 5th St N,St. Petersburg,"Public Services & Government, Libraries",3.5,6,27.7747314,-82.6402836
kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,1760 Dekalb Pike,Blue Bell,"Grocery, Food",3.0,29,40.1490655,-75.3060284
RXpADfOCZBGi82-CGxYdsw,Monogram Express,2109 Veterans Memorial Blvd,Metairie,"Flowers & Gifts, Embroidery & Crochet, Uniforms, Arts & Crafts, Home & Garden, Shopping, Gift Shops, Home Decor",4.5,8,30.0032388544,-90.146487573
qFX8IdomeBVhDPCSyz2aRg,Nashville Delivers,6591 Bluff Rd,Brentwood,"Couriers & Delivery Services, Local Services, Food, Food Delivery Services",3.5,7,36.002397,-86.7023814
bYjnX_J1bHZob10DoSFkqQ,Tinkle Belle Diaper Service,,Santa Barbara,"Parenting Classes, Maternity Wear, Fashion, Education, Specialty Schools, Local Services, Home Services, Laundry Services, Child Care & Day Care, Shopping, Baby Gear & Furniture",5.0,17,34.420334,-119.7107494
luGY5CJlb4CJ3LrBcSXMPA,Desert Design Center,4146 E Speedway Blvd,Tucson,"Furniture Stores, Shopping, Home & Garden",3.0,5,32.2358661,-110.9036755
VZzivJEbmHItOxNXJB3SpA,Subway,"330 Franklin Rd, Ste 900-d",Brentwood,"Sandwiches, Fast Food, Restaurants",2.5,14,36.0263631408,-86.7894728157
iPSPcprSnkLOuL1Ns8UZZA,Pete's Barber Shop,1209 N 29th St,Philadelphia,"Barbers, Beauty & Spas",4.5,12,39.9748805,-75.1832618
Q3kQYhkYxSRyYyeBgtk--A,Cook's Glass & Mirror,5703 W Morris St,Indianapolis,"Home Services, Glass & Mirrors, Door Sales/Installation",5.0,5,39.7500892,-86.2575225
wEfK2HIYNzkA1QYfUjHBaw,Leslie's,"7955 E Broadway Blvd, Ste 147",Tucson,"Hardware Stores, Home Services, Hot Tub & Pool, Pool & Hot Tub Service, Home & Garden, Shopping",2.5,15,32.2215422,-110.8221011
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,"7250 North La Cholla, Suite 186",Tucson,"Pizza, Restaurants",4.0,22,32.3385723,-111.0107602
BVo_36t3z7vfXp3XGgJkOg,Sears Auto Center,4400 Veterans Memorial Blvd,Metairie,"Tires, Auto Repair, Oil Change Stations, Automotive",1.5,37,30.0042804,-90.1813221
P8brGDYVWjeW9GrKixH0yQ,Laser Spine Institute,5332 Avion Park Dr,Tampa,"Medical Centers, Doctors, Diagnostic Services, Health & Medical, Orthopedists, Spine Surgeons, Diagnostic Imaging",3.0,36,27.9586132,-82.5325949
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,1205 Delsea Dr,Woodbury,"Nightlife, Chicken Wings, Pubs, Bars, American (Traditional), Restaurants",3.5,29,39.8444681,-75.1248703
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,"Restaurants, Chinese",3.0,137,39.963077709,-75.1680274529
FRYkg_JvsWU9xIXZsEZcVA,Altamura,2127 Prytania St,New Orleans,"Cocktail Bars, Italian, Nightlife, Seafood, Bars, Restaurants",3.5,27,29.9333877563,-90.079498291
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,4880 E 22nd St,Tucson,"Bars, Restaurants, Sports Bars, Nightlife",3.5,56,32.206315,-110.887843
k0yyD71s2F2eEKWRdkZ6jA,Cold Stone Creamery,"55 S Raceway Rd, Ste 400",Indianapolis,"Custom Cakes, Food, Desserts, Cupcakes, Ice Cream & Frozen Yogurt",3.0,19,39.7628744,-86.3257127
dM5OKNzk9AL2aiq-fV-SYg,Walmart Supercenter,400 W Northfield Dr,Brownsburg,"Discount Store, Department Stores, Food, Drugstores, Shopping, Grocery, Fashion, Mobile Phones",1.5,14,39.8591499,-86.3964221
qdYfHRsZdcz4Bun4f9Ijaw,Norristown Car Wash,10 E Germantown Pike,Norristown,"Car Wash, Auto Detailing, Automotive",2.0,8,40.140914,-75.3123146
Y6t4pnKm5LF8y5ChHA27ow,Meineke Car Care Center,2632 Land O Lakes Blvd,Land O Lakes,"Auto Repair, Automotive, Tires, Oil Change Stations",4.5,27,28.1961683557,-82.464425454
E_kLUlU60fzoZYAOxbH_3w,Pain Institute of Southern Arizona,"4582 N 1st Ave, Ste 170",Tucson,"Pain Management, Doctors, Health & Medical, Osteopathic Physicians",2.5,43,32.2891826,-110.9572299
txiXR1YfMyk-5S4ZzOVIhQ,Advance Financial,2845 Lebanon Pike,Nashville,"Title Loans, Installment Loans, Financial Services, Check Cashing/Pay-day Loans",2.0,7,36.1676590439,-86.6582959
